id:ID	name	description
CHEBI:5000	fenfluramine	A  secondary amino compound that is 1-phenyl-propan-2-amine in which one of the meta-hydrogens is substituted by trifluoromethyl, and one of the hydrogens attached to the nitrogen is substituted by an ethyl group. It binds to the serotonin reuptake pump, causing inhbition of serotonin uptake and release of serotonin. The resulting increased levels of serotonin lead to greater serotonin receptor activation which in turn lead to enhancement of serotoninergic transmission in the centres of feeding behavior located in the hypothalamus. This suppresses the appetite for carbohydrates. Fenfluramine was used as the hydrochloride for treatment of diabetes and obesity. It was withdrawn worldwide after reports of heart valve disease and pulmonary hypertension.
ATC:A08AA03	amfepramone	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
CHEBI:439329	(S)-fenfluramine	Dexfenfluramine, also marketed under the name Redux, is a serotoninergic anorectic drug. It was for some years in the mid-1990s approved by the United States Food and Drug Administration for the purposes of weight loss. However, following multiple concerns about the cardiovascular side-effects of the drug, such approval was withdrawn.
CHEBI:6702	Mazindol	Mazindol is only found in individuals that have used or taken this drug. It is a tricyclic anorexigenic agent unrelated to and less toxic than amphetamine, but with some similar side effects. It inhibits uptake of catecholamines and blocks the binding of cocaine to the dopamine uptake transporter. [PubChem]Although the mechanism of action of the sympathomimetics in the treatment of obesity is not fully known, these medications have pharmacological effects similar to those of amphetamines. Unlike other sympathomimetic appetite suppressants such as phentermine, mazindol is thought to inhibit the reuptake of norepinephrine rather than to cause its release.
CHEBI:134796	etilamfetamine	Etilamfetamine is also known as N-ethylamphetamine and is in the Canadian Legislation - The Controlled Drugs and Substances Act, and is a Schedule 1 controlled drug. Like other amphetamines, this amphetamine analog was used as an appetite suppressant in the 1950s. However, being on the controlled drug and substance act does not necessitate that the drug is approved for sale on the market.
CHEBI:4109	cathine	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121; Cathine, also known as d-norpseudoephedrine and (+)-norpseudoephedrine, is a psychoactive drug with stimulant properties. It belongs to the phenethylamine and amphetamine chemical classes. In the United States, it is classified as a Schedule IV controlled substance.
CHEBI:135069	clobenzorex	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
CHEBI:134883	mefenorex	MEFENOREX; FULL_MW:211.74; MAX_FDA_APPROVAL_PHASE: -1.0
CHEBI:9137	sibutramine	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121; Sibutramine (trade name Meridia in the USA, Reductil in Europe and other countries), usually as sibutramide hydrochloride monohydrate, is an orally administered agent for the treatment of obesity. It is a centrally acting stimulant chemically related to amphetamines thus it is classified as a Schedule IV controlled substance in the United States. In October 2010, Sibutramine was withdrawn from Canadian and U.S. markets due to concerns that the drug increases the risk of heart attack and stroke in patients with a history of heart disease.
CHEBI:65353	lorcaserin	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121; Lorcaserin (previously APD-356), a highly selective 5HT2C receptor agonist, is used for the treatment of obesity. It has been shown to reduce body weight and food intake in animal models of obesity, and it is thought that targeting the 5HT2C receptor may alter body weight by regulating satiety. Lorcaserin is marketed as a salt form called Belviq, which is lorcaserin hydrochloride.    In February 2020, the FDA issued a Drug Safety Communication requesting the manufacturer of Belviq (lorcaserin hydrochloride tablets, 10 mg) and Belviq XR (lorcaserin hydrochloride extended-release tablets, 20 mg) to voluntarily withdraw these products from the U.S. market, and the company has submitted a request to voluntarily withdraw the drug. This decision was based on the results of a clinical trial assessing the risk of heart-related problems that found that patients treated with lorcaserin may have a higher risk of cancer.[L44042,L44047]
UNII:N7T15V1FUY	SETMELANOTIDE	UMLS Semantic Type: STY:T116; UMLS Semantic Type: STY:T121; Setmelanotide is the first available treatment for patients with pro-opiomelanocortin, proprotein subilisin/kexin type 1, or leptin deficiencies.[L24474] It is an agonist of the melanocortin 4 receptor.[A224449] Earlier attempts at agonizing MC4R (such as LY2112688) lead to successful weight loss, but also an increase in blood pressure and heart rate.[A224449] Other earlier treatments for these patients included gastric bypass surgery.[A224449] Patients taking setmelanotide experienced an average weight loss of 0.6 kg/week.[A224449]    Imcivree was granted EMA orphan designation on 19 November 2018[L24559] and FDA approval on 25 November 2020.[L24429]
UMLS:C3652880	ephedrine, combinations	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
ATC:A08AA62	bupropion and naltrexone	UMLS Semantic Type: STY:T121
UMLS:C3653397	Peripherally acting antiobesity products	UMLS Semantic Type: STY:T121
CHEBI:94686	orlistat	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121; The global prevalence of obesity is increasing rapidly. Obesity-related complications lead to significant personal and economic burden by reducing quality of life and increasing the cost of healthcare.  In some individuals, diet and exercise are insufficient to maintain weight loss, and pharmacological or surgical intervention is required.[A229928]    Orlistat is a lipase inhibitor used in the treatment of obesity that works by inhibiting fat-metabolizing enzymes. It was approved by the FDA for use in combination with a reduced-calorie diet in 1999.[L11130] This drug is a generally well-tolerated and effective weight-loss aid and is now available in both over-the-counter[L31963] and prescription preparations, depending on the dosage quantity.[L11130]
UMLS:C3653901	Other antiobesity drugs in ATC	UMLS Semantic Type: STY:T121
CHEBI:34967	rimonabant	A carbohydrazide obtained by formal condensation of the carboxy group of 5-(4-chlorophenyl)-1-(2,4-dichlorophenyl)-4-methyl-1H-pyrazole-3-carboxylic acid with the amino group of 1-aminopiperidine. It is a potent and selective cannabinoid receptor 1 (CB1R) antagonist. Besides its antagonistic properties, numerous studies have shown that, at micromolar concentrations rimonabant behaves as an inverse agonist at CB1 receptors. The drug was the first selective CB1 antagonist/inverse agonist introduced into clinical practice to treat obesity and metabolic-related disorders. It was later withdrawn from market due to CNS-related adverse effects including depression and suicidal ideation.
UMLS:C3653759	DIGESTIVES, INCL. ENZYMES	UMLS Semantic Type: STY:T121
ATC:A09AA	Enzyme preparations, digestives	UMLS Semantic Type: STY:T116; UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T126
CHEMBL.COMPOUND:CHEMBL2108452	DIASTASE	DIASTASE; MAX_FDA_APPROVAL_PHASE: -1.0
UMLS:C3652678	multienzymes (lipase, protease etc.)	UMLS Semantic Type: STY:T116; UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T126
DRUGBANK:DB13198	Pepsin	UMLS Semantic Type: STY:T116; UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T126; Pepsin is a potent enzyme in gastric juice that digests proteins such as those in meat, eggs, seeds, and dairy products [L2358].    Studies on gastric digestion from 1820-1840 led to the discovery of pepsin as the substance which, in the presence of stomach acid, causes nutrients including meat or coagulated egg whites to dissolve. Soon afterward, it was shown that these protein nutrients were cleaved by pepsin to products called _peptones_ [A32603].    Pepsin is often used as a replacement enzyme for those with pancreatic insufficiency [L2357]. Stimulation of the pancreas and therefore enzymatic digestion of food is a tightly controlled and is a hormonally mediated process. Any changes or conditions affecting metabolic steps for successful digestion and absorption negatively affect pancreatic enzymatic secretion, entry into the intestine, functionality once inside the intestine, and appropriate mixing with foods/nutrients. Many causes of pancreatic insufficiency require that enzyme replacement therapy is started, including cystic fibrosis, pancreatic cancer, acute and chronic pancreatitis, as well as pancreatic surgery [L2357].    Pepsin is approved by the FDA and is used in food at levels not to exceed current good manufacturing practice [L2363].  Interestingly, it has been used as a marker for laryngopharyngeal reflux (LPR), which is a common illness of otolaryngology (ear, nose and throat specialist) visits [A32604].    Interestingly, recent research has suggested that pepsin participates in the digestion of nucleic acids [L2391].
CHEMBL.COMPOUND:CHEMBL2108793	TILACTASE	TILACTASE; MAX_FDA_APPROVAL_PHASE: 3.0
UMLS:C3654034	Acid preparations, digestives	UMLS Semantic Type: STY:T121
UNII:M0C2SP444T	GLUTAMIC ACID HYDROCHLORIDE	The hydrochloride salt form of glutamic acid, a non-essential amino acid. Used as a gastric acidifier, glutamic acid hydrochloride releases hydrochloric acid into the stomach, thereby lowering gastric pH. (NCI); UMLS Semantic Type: STY:T116; UMLS Semantic Type: STY:T121
UNII:JK8U8K4D6K	BETAINE HYDROCHLORIDE	The hydrochloride form of betaine, a crystalline alkaloid occurring in sugar beets and other plants. Betaine, acting as a transmethylating metabolic intermediate, is the oxidation product of choline. Betaine hydrochloride is used as a gastric acidifier supplement.; UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
CHEBI:17883	hydrogen chloride	Hydrochloric acid constitutes the majority of gastric acid, the human digestive fluid. In a complex process and at a large energetic burden, it is secreted by parietal cells (also known as oxyntic cells). These cells contain an extensive secretory network (called canaliculi) from which the HCl is secreted into the lumen of the stomach. They are part of the epithelial fundic glands (also known as oxyntic glands) in the stomach. The chemical compound hydrochloric acid is the aqueous (water-based) solution of hydrogen chloride gas (HCl). It is a strong acid, the major component of gastric acid and of wide industrial use. Hydrochloric acid must be handled with appropriate safety precautions because it is a highly corrosive liquid. Hydrochloric acid, or muriatic acid by its historical but still occasionally used name, has been an important and frequently used chemical from early history and was discovered by the alchemist Jabir ibn Hayyan around the year 800. Hydrogen chloride, also known under the name HCl, is a highly corrosive and toxic colorless gas that forms white fumes on contact with humidity. These fumes consist of hydrochloric acid which forms when hydrogen chloride dissolves in water. The hydrogen chloride molecule HCl is a simple diatomic molecule consisting of a hydrogen atom H and a chlorine atom Cl connected with a covalent single bond. Since the chlorine atom is much more electronegative than the hydrogen atom, the covalent bond between the atoms is quite polar. Hydrogen chloride forms corrosive hydrochloric acid on contact with body tissue. Inhalation of the fumes can cause coughing, choking, inflammation of the nose, throat, and upper respiratory tract, and in severe cases, pulmonary edema, circulatory system failure, and death. Skin contact can cause redness, pain, and severe skin burns. Hydrogen chloride may cause severe burns to the eye and permanent eye damage.
CHEBI:30769	citric acid	"Citric acid (citrate) is a tricarboxylic acid, an organic acid with three carboxylate groups.  Citrate is an intermediate in the TCA cycle (also known as the Tricarboxylic Acid cycle, the Citric Acid cycle or Krebs cycle). The TCA cycle is a central metabolic pathway for all animals, plants, and bacteria. As a result, citrate is found in all living organisms, from bacteria to plants to animals. In the TCA cycle, the enzyme citrate synthase catalyzes the condensation of oxaloacetate with acetyl CoA to form citrate. Citrate then acts as the substrate for the enzyme known as aconitase and is then converted into aconitic acid. The TCA cycle ends with regeneration of oxaloacetate. This series of chemical reactions in the TCA cycle is the source of two-thirds of the food-derived energy in higher organisms. Citrate can be transported out of the mitochondria and into the cytoplasm, then broken down into acetyl-CoA for fatty acid synthesis, and into oxaloacetate. Citrate is a positive modulator of this conversion, and allosterically regulates the enzyme acetyl-CoA carboxylase, which is the regulating enzyme in the conversion of acetyl-CoA into malonyl-CoA (the commitment step in fatty acid synthesis). In short, citrate is transported into the cytoplasm, converted into acetyl CoA, which is then converted into malonyl CoA by acetyl CoA carboxylase, which is allosterically modulated by citrate. In mammals and other vertebrates, Citrate is a vital component of bone, helping to regulate the size of apatite crystals (PMID: 21127269). Citric acid is found in citrus fruits, most concentrated in lemons and limes, where it can comprise as much as 8% of the dry weight of the fruit. Citric acid is a natural preservative and is also used to add an acidic (sour) taste to foods and carbonated drinks. Because it is one of the stronger edible acids, the dominant use of citric acid is as a flavoring and preservative in food and beverages, especially soft drinks and candies. Citric acid is an excellent chelating agent, binding metals by making them soluble. It is used to remove and discourage the buildup of limescale from boilers and evaporators. It can be used to treat water, which makes it useful in improving the effectiveness of soaps and laundry detergents. The salts of citric acid (citrates) can be used as anticoagulants due to their calcium chelating ability. Intolerance to citric acid in the diet is known to exist. Little information is available as the condition appears to be rare, but like other types of food intolerance it is often described as a ""pseudo-allergic"" reaction."
UMLS:C3653657	Enzyme and acid preparations, combinations	UMLS Semantic Type: STY:T121
UMLS:C3652725	pepsin and acid preparations	UMLS Semantic Type: STY:T121
UMLS:C3652739	multienzymes and acid preparations	UMLS Semantic Type: STY:T121
UMLS:C3653344	DRUGS USED IN DIABETES	UMLS Semantic Type: STY:T121
UMLS:C3653579	INSULINS AND ANALOGUES	UMLS Semantic Type: STY:T116; UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T125
UMLS:C3653577	Insulins and analogues for injection, fast-acting	UMLS Semantic Type: STY:T116; UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T125
CHEBI:5931	insulin (human)	"Regular insulin preparations that contain the HUMAN insulin peptide sequence.; A recombinant form of the naturally occurring human pancreatic hormone insulin. Upon administration, regular insulin mimics the action of endogenous human insulin and binds to insulin receptors located on muscle and fat cells. This both facilitates the cellular uptake of glucose and lowers blood glucose levels. In addition, insulin inhibits the liver's conversion of stored glycogen into glucose, which also decreases blood glucose levels. Insulin also inhibits lipolysis in adipose tissue, inhibits proteolysis, and enhances protein synthesis.; A recombinant form of the naturally occurring human pancreatic hormone insulin. Upon administration, regular insulin mimics the action of endogenous human insulin and binds to insulin receptors located on muscle and fat cells. This both facilitates the cellular uptake of glucose and lowers blood glucose levels. In addition, insulin inhibits the liver's conversion of stored glycogen into glucose, which also decreases blood glucose levels. Insulin also inhibits lipolysis in adipose tissue, inhibits proteolysis, and enhances protein synthesis. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C29125"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C29125"" NCI Thesaurus); UMLS Semantic Type: STY:T116; UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T125"
UMLS:C3540723	Insulins and analogs for injection, fast-acting combinations	UMLS Semantic Type: STY:T121
UMLS:C3653576	Insulins and analogues for injection, intermediate-acting	UMLS Semantic Type: STY:T116; UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T125
UMLS:C3539974	Insulins and analogs for injection, intermediate-acting combinations	UMLS Semantic Type: STY:T121
ATC:A10AD	Insulins and analogues for injection used in Diabetes, intermediate- or long-acting combined with fast-acting	UMLS Semantic Type: STY:T116; UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T125
ATC:A10AD06	insulin degludec and insulin aspart	UMLS Semantic Type: STY:T116; UMLS Semantic Type: STY:T121
UMLS:C3539967	Insulins and analogs for injection, intermediate-acting combined with fast-acting- combinations	UMLS Semantic Type: STY:T121
ATC:A10AE	Insulins and analogues for injection, long-acting	UMLS Semantic Type: STY:T116; UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T125
UMLS:C3539966	insulins and analogs for injection combinations, long-acting	UMLS Semantic Type: STY:T121
KEGG.DRUG:D11034	Insulin glargine and lixisenatide	UMLS Semantic Type: STY:T121
KEGG.DRUG:D11567	Insulin degludec and liraglutide	UMLS Semantic Type: STY:T121
UMLS:C3653578	Insulins and analogues for inhalation	UMLS Semantic Type: STY:T116; UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T125
UMLS:C3653824	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS	UMLS Semantic Type: STY:T121
UMLS:C3540012	biguanide blood glucose lower drugs	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
CHEBI:8064	phenformin	"The hydrochloride salt form of phenformin, an agent belonging to the biguanide class of antidiabetics with antihyperglycemic activity. Phenformin is not used clinically due to the high risk of lactic acidosis that is associated with its use.; The hydrochloride salt form of phenformin, an agent belonging to the biguanide class of antidiabetics with antihyperglycemic activity. Phenformin is not used clinically due to the high risk of lactic acidosis that is associated with its use. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C81696"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C81696"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
CHEBI:6801	metformin	1,1-Dimethylbiguanide, commonly known as metformin, is a member of the class of guanidines that is biguanide the carrying two methyl substituents at position 1. It has a role as a hypoglycemic agent, a xenobiotic and an environmental contaminant. It derives from a biguanide. It is a conjugate base of a metformin(1+). Metformin is a biguanide hypoglycemic agent used in the treatment of non-insulin-dependent diabetes mellitus not responding to dietary modification. Metformin improves glycemic control by improving insulin sensitivity and decreasing intestinal absorption of glucose. Metformin is the most popular anti-diabetic drug in the United States and one of the most prescribed drugs in the country overall, with nearly 35 million prescriptions filled in 2006 for generic metformin alone. It is also used in the treatment of polycystic ovary syndrome. It is not associated with weight gain and is taken by mouth. It is sometimes used as an off-label augment to attenuate the risk of weight gain in people who take antipsychotics as well as phenelzine.
CHEBI:3209	buformin	An oral hypoglycemic agent that inhibits gluconeogenesis, increases glycolysis, and decreases glucose oxidation.; An agent belonging to the biguanide class of antidiabetics with antihyperglycemic activity. Buformin is not metabolized and is excreted in the urine. This agent has been withdrawn from the market due to its elevated risk of lactic acidosis.; UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3653359	Sulfonylureas for blood glucose lowering	UMLS Semantic Type: STY:T121
CHEBI:5441	glyburide	"An antidiabetic sulfonylurea derivative with actions like those of chlorpropamide; A sulfonamide urea derivative with antihyperglycemic activity that can potentially be used to decrease cerebral edema. Upon administration, glyburide binds to and blocks the sulfonylurea receptor type 1 (SUR1) subunit of the ATP-sensitive inwardly-rectifying potassium (K(ATP)) channels on the membranes of pancreatic beta cells. This prevents the inward current flow of positively charged potassium (K+) ions into the cell, and induces a calcium ion (Ca2+) influx through voltage-sensitive calcium channels, which triggers exocytosis of insulin-containing granules. In addition, glyburide also inhibits the SUR1-regulated nonselective cation (NC) Ca-ATP channel, melastatin 4 (transient receptor potential cation channel subfamily M member 4; (TRPM4)), thereby preventing capillary failure and brain swelling. SUR1-TRPM4 channels are formed by co-assembly of SUR1 with TRPM4 in neurons, astrocytes, and capillary endothelium during cerebral ischemia. Upon ischemia-induced ATP depletion, channels open which results in sodium influx, cytotoxic edema formation, capillary fragmentation and necrotic cell death. SUR1-TRPM4 is not expressed in normal, uninjured tissues.; A sulfonamide urea derivative with antihyperglycemic activity that can potentially be used to decrease cerebral edema. Upon administration, glyburide binds to and blocks the sulfonylurea receptor type 1 (SUR1) subunit of the ATP-sensitive inwardly-rectifying potassium (K(ATP)) channels on the membranes of pancreatic beta cells. This prevents the inward current flow of positively charged potassium (K+) ions into the cell, and induces a calcium ion (Ca2+) influx through voltage-sensitive calcium channels, which triggers exocytosis of insulin-containing granules. In addition, glyburide also inhibits the SUR1-regulated nonselective cation (NC) Ca-ATP channel, melastatin 4 (transient receptor potential cation channel subfamily M member 4; (TRPM4)), thereby preventing capillary failure and brain swelling. SUR1-TRPM4 channels are formed by co-assembly of SUR1 with TRPM4 in neurons, astrocytes, and capillary endothelium during cerebral ischemia. Upon ischemia-induced ATP depletion, channels open which results in sodium influx, cytotoxic edema formation, capillary fragmentation and necrotic cell death. SUR1-TRPM4 is not expressed in normal, uninjured tissues. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/772960"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=772960"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
CHEBI:3650	chlorpropamide	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121; Chlorpropamide is an oral antihyperglycemic agent used for the treatment of non-insulin-dependent diabetes mellitus (NIDDM). It belongs to the sulfonylurea class of insulin secretagogues, which act by stimulating β cells of the pancreas to release insulin. Sulfonylureas increase both basal insulin secretion and meal-stimulated insulin release. Medications in this class differ in their dose, rate of absorption, duration of action, route of elimination and binding site on their target pancreatic β cell receptor. Sulfonylureas also increase peripheral glucose utilization, decrease hepatic gluconeogenesis and may increase the number and sensitivity of insulin receptors. Sulfonylureas are associated with weight gain, though less so than insulin. Due to their mechanism of action, sulfonylureas may cause hypoglycemia and require consistent food intake to decrease this risk. The risk of hypoglycemia is increased in elderly, debilitated and malnourished individuals. Chlorpropamide is not recommended for the treatment of NIDDM as it increases blood pressure and the risk of retinopathy (UKPDS-33). Up to 80% of the single oral dose of chlorpropramide is metabolized, likely in the liver; 80-90% of the dose is excreted in urine as unchanged drug and metabolites. Renal and hepatic dysfunction may increase the risk of hypoglycemia.
CHEBI:27999	tolbutamide	"A sulphonylurea hypoglycemic agent with actions and uses similar to those of CHLORPROPAMIDE. (From Martindale, The Extra Pharmacopoeia, 30th ed, p290); A short-acting, first-generation sulfonylurea with hypoglycemic activity. Compared to second-generation sulfonylureas, tolbutamide is more likely to cause adverse effects, such as jaundice. This agent is rapidly metabolized by CYPC29.; A first-generation sulfonylurea with hypoglycemic activity. Tolbutamide binds to and blocks adenosine triphosphate (ATP)-sensitive potassium channels on the beta cell membrane of the pancreatic islet tissues. This leads to potassium efflux, which results in depolarization, calcium influx, calcium-calmodulin binding, kinase activation, and release of insulin-containing granules by exocytosis. In addition, tolbutamide may increase the number and affinity of cell surface insulin receptors, thereby enhancing the peripheral response to insulin. Tolbutamide is a CYP2C9 substrate. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C66610"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C66610"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
CHEBI:135545	glibornuride	An orally bioavailable sulfonamide urea derivative with antihyperglycemic activity. Upon administration, glibornuride binds to and blocks the sulfonylurea receptor type 1 (SUR1) subunit of the ATP-sensitive inwardly-rectifying potassium (K(ATP)) channels on the membranes of pancreatic beta cells. This prevents the inward flow of positively charged potassium (K+) ions into the cell, and induces a calcium ion (Ca2+) influx through voltage-sensitive calcium channels, which triggers exocytosis of insulin-containing granules. Insulin stimulates glycogen synthesis and inhibits gluconeogenesis, which together lower blood glucose levels.; UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
CHEBI:9613	tolazamide	"A sulphonylurea hypoglycemic agent with actions and uses similar to those of CHLORPROPAMIDE.; An intermediate-acting, first-generation sulfonylurea with hypoglycemic activity. Tolazamide is converted into five major metabolites that are excreted into the urine. Tolazamide is more potent than tolbutamide and similar in potency to chlorpropamide on a milligram basis. This agent may cause cholestatic jaundice.; An intermediate-acting, first-generation sulfonylurea with hypoglycemic activity. Tolazamide is converted into five major metabolites that are excreted into the urine. Tolazamide is more potent than tolbutamide and similar in potency to chlorpropamide on a milligram basis. This agent may cause cholestatic jaundice. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C29502"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C29502"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
CHEBI:135118	carbutamide	"A sulfonylurea antidiabetic agent with similar actions and uses to CHLORPROPAMIDE. (From Martindale, The Extra Pharmacopoeia, 30th ed, p277); A first-generation sulfonylurea with hypoglycemic activity. Carbutamide was one of the first sulfonylurea compounds used but was withdrawn from the market due to toxic effects on bone marrow. This agent has a long half-life.; A first-generation sulfonylurea with hypoglycemic activity. Carbutamide was one of the first sulfonylurea compounds used but was withdrawn from the market due to toxic effects on bone marrow. This agent has a long half-life. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C83597"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C83597"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
CHEBI:5384	glipizide	"An oral hypoglycemic agent which is rapidly absorbed and completely metabolized.; A short-acting, second-generation sulfonylurea with hypoglycemic activity. Glipizide is rapidly absorbed, has a very quick onset of action and a short half-life. This agent is extensively metabolized in the liver and the metabolites as well as the unchanged form are excreted in the urine.; A short-acting, second-generation sulfonylurea with hypoglycemic activity. Glipizide is rapidly absorbed, has a very quick onset of action and a short half-life. This agent is extensively metabolized in the liver and the metabolites as well as the unchanged form are excreted in the urine. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C29074"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C29074"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
CHEBI:93416	1-cyclohexyl-3-[4-[2-(7-methoxy-4,4-dimethyl-1,3-dioxo-2-isoquinolinyl)ethyl]phenyl]sulfonylurea	"A potent, second-generation sulfonylurea with antihyperglycemic activity. Like other second-generation compounds, gliquidone exerts greater binding affinity to SUR1 and increased potency compared to first-generation compounds. In addition, this agent exerts peroxisome proliferator-activated receptor (PPAR) gamma agonistic activity.; A potent, second-generation sulfonylurea with antihyperglycemic activity. Like other second-generation compounds, gliquidone exerts greater binding affinity to SUR1 and increased potency compared to first-generation compounds. In addition, this agent exerts peroxisome proliferator-activated receptor (PPAR) gamma agonistic activity. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C72798"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C72798"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
CHEBI:31654	gliclazide	Gliclazide is an oral antihyperglycemic agent used for the treatment of non-insulin-dependent diabetes mellitus (NIDDM). It belongs to the sulfonylurea class of insulin secretagogues, which act by stimulating &beta; cells of the pancreas to release insulin. Sulfonylureas increase both basal insulin secretion and meal-stimulated insulin release. Medications in this class differ in their dose, rate of absorption, duration of action, route of elimination and binding site on their target pancreatic &beta; cell receptor. Sulfonylureas also increase peripheral glucose utilization, decrease hepatic gluconeogenesis and may increase the number and sensitivity of insulin receptors. Sulfonylureas are associated with weight gain, though less so than insulin. Due to their mechanism of action, sulfonylureas may cause hypoglycemia and require consistent food intake to decrease this risk. The risk of hypoglycemia is increased in elderly, debilitated and malnourished individuals. Gliclazide has been shown to decrease fasting plasma glucose, postprandial blood glucose and glycosolated hemoglobin (HbA1c) levels (reflective of the last 8-10 weeks of glucose control). Gliclazide is extensively metabolized by the liver; its metabolites are excreted in both urine (60-70%) and feces (10-20%).
CHEBI:135328	metahexamide	"A long-acting, first-generation, cyclohexyl sulfonylurea with antihyperglycemic activity. Metahexamide has greater potency than chlorpropamide and tolbutamide. This agent may cause jaundice.; A long-acting, first-generation, cyclohexyl sulfonylurea with antihyperglycemic activity. Metahexamide has greater potency than chlorpropamide and tolbutamide. This agent may cause jaundice. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C91022"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C91022"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
CHEBI:135731	glisoxepide	"A second-generation sulfonylurea with antihyperglycemic activity. Like other second-generation compounds, glisoxepide exerts greater binding affinity than the first-generation compounds. Glisoxepide shows peroxisome proliferator-activated receptor (PPAR) gamma agonistic activity, has a short half-life and is excreted in both the bile and urine.; A second-generation sulfonylurea with antihyperglycemic activity. Like other second-generation compounds, glisoxepide exerts greater binding affinity than the first-generation compounds. Glisoxepide shows peroxisome proliferator-activated receptor (PPAR) gamma agonistic activity, has a short half-life and is excreted in both the bile and urine. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C72801"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C72801"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
